Emilia,Clarke
Maisie,Williams
Kit,Harington
Peter,Dinklage
Nikolaj,Coster-Waldau

Andrew,Lincoln
Norman,Reedus
Norman,Reedus
Danai,Gurira
Melissa,McBride

Matthew,McConaughey
Woody,Harrelson
Mahershala,Ali
Stephen,Dorff
Carmen,Ejogo

Kaley,Cuoco
Johnny,Galecki
Jim,Parsons
Mayim,Bialik
Kunal,Nayyar

Jensen,Ackles
Jared,Padalecki
Misha,Collins
Mark,Sheppard
Jeffrey,Dean,Morgan

Kevin,Spacey
Robin,Wright
Michael,Kelly
Jayne,Atkinson
Derek,Cecil

Evan,Peters
Sarah,Paulson
Jessica,Lange
Emma,Roberts
Kathy,Bates

Justin,Roiland
Sarah,Chalke
Spencer,Grammer
Chris,Parnell
Tom,Kenny
